id,title,category,description,price,stock,brand,weight
125,Oppo A57,smartphones,"The Oppo A57 is a mid-range smartphone known for its sleek design and capable features. It offers a balance of performance and affordability, making it a popular choice.",249.99,76,Oppo,3.0
126,Oppo F19 Pro Plus,smartphones,The Oppo F19 Pro Plus is a feature-rich smartphone with a focus on camera capabilities. It boasts advanced photography features and a powerful performance for a premium user experience.,399.99,92,Oppo,2.0
127,Oppo K1,smartphones,"The Oppo K1 series offers a range of smartphones with various features and specifications. Known for their stylish design and reliable performance, the Oppo K1 series caters to diverse user preferences.",299.99,61,Oppo,2.0
188,Pampi Shoes,womens-shoes,"Pampi Shoes offer a blend of comfort and style for everyday use. With a versatile design, they are suitable for various casual occasions, providing a trendy and relaxed look.",29.99,36,Pampi,3.0
174,Prada Women Bag,womens-bags,"The Prada Women Bag is an iconic designer bag that exudes elegance and luxury. Crafted with precision and featuring the Prada logo, it's a statement piece for fashion enthusiasts.",599.99,43,Prada,4.0
112,TV Studio Camera Pedestal,mobile-accessories,The TV Studio Camera Pedestal is a professional-grade camera support system for smooth and precise camera movements in a studio setting. Ideal for broadcast and production.,499.99,45,ProVision,7.0
90,Puma Future Rider Trainers,mens-shoes,"The Puma Future Rider Trainers offer a blend of retro style and modern comfort. Perfect for casual wear, these trainers provide a fashionable and comfortable option for everyday use.",89.99,10,Puma,8.0
128,Realme C35,smartphones,The Realme C35 is a budget-friendly smartphone with a focus on providing essential features for everyday use. It offers a reliable performance and user-friendly experience.,149.99,81,Realme,6.0
129,Realme X,smartphones,The Realme X is a mid-range smartphone known for its sleek design and impressive display. It offers a good balance of performance and camera capabilities for users seeking a quality device.,299.99,87,Realme,1.0
130,Realme XT,smartphones,"The Realme XT is a feature-rich smartphone with a focus on camera technology. It comes equipped with advanced camera sensors, delivering high-quality photos and videos for photography enthusiasts.",349.99,53,Realme,4.0
95,Rolex Cellini Date Black Dial,mens-watches,"The Rolex Cellini Date with Black Dial is a classic and prestigious watch. With a black dial and date complication, it exudes sophistication and is a symbol of Rolex's heritage.",8999.99,84,Rolex,6.0
96,Rolex Cellini Moonphase,mens-watches,"The Rolex Cellini Moonphase is a masterpiece of horology, featuring a moon phase complication and exquisite design. It reflects Rolex's commitment to precision and elegance.",12999.99,33,Rolex,5.0
97,Rolex Datejust,mens-watches,"The Rolex Datejust is an iconic and versatile timepiece with a date window. Known for its timeless design and reliability, it's a symbol of Rolex's watchmaking excellence.",10999.99,11,Rolex,5.0
98,Rolex Submariner Watch,mens-watches,"The Rolex Submariner is a legendary dive watch with a rich history. Known for its durability and water resistance, it's a symbol of adventure and exploration.",13999.99,35,Rolex,5.0
191,Rolex Cellini Moonphase,womens-watches,"The Rolex Cellini Moonphase watch is a masterpiece of horology. Featuring a moon phase complication, it showcases the craftsmanship and elegance that Rolex is renowned for.",15999.99,66,Rolex,5.0
192,Rolex Datejust Women,womens-watches,"The Rolex Datejust Women's watch is an iconic timepiece designed for women. With a timeless design and a date complication, it offers both elegance and functionality.",10999.99,31,Rolex,8.0
131,Samsung Galaxy S7,smartphones,"The Samsung Galaxy S7 is a flagship smartphone known for its sleek design and advanced features. It features a high-resolution display, powerful camera, and robust performance.",299.99,55,Samsung,8.0
132,Samsung Galaxy S8,smartphones,"The Samsung Galaxy S8 is a premium smartphone with an Infinity Display, offering a stunning visual experience. It boasts advanced camera capabilities and cutting-edge technology.",499.99,75,Samsung,6.0
133,Samsung Galaxy S10,smartphones,"The Samsung Galaxy S10 is a flagship device featuring a dynamic AMOLED display, versatile camera system, and powerful performance. It represents innovation and excellence in smartphone technology.",699.99,40,Samsung,3.0
160,Samsung Galaxy Tab S8 Plus Grey,tablets,"The Samsung Galaxy Tab S8 Plus in Grey is a high-performance Android tablet by Samsung. With a large AMOLED display, powerful processor, and S Pen support, it's ideal for productivity and entertainment.",599.99,76,Samsung,10.0
161,Samsung Galaxy Tab White,tablets,"The Samsung Galaxy Tab in White is a sleek and versatile Android tablet. With a vibrant display, long-lasting battery, and a range of features, it offers a great user experience for various tasks.",349.99,0,Samsung,8.0
116,Scooter Motorcycle,motorcycle,The Scooter Motorcycle is a practical and fuel-efficient bike ideal for urban commuting. It features a step-through design and user-friendly controls for easy maneuverability.,2999.99,11,ScootMaster,2.0
111,Selfie Stick Monopod,mobile-accessories,The Selfie Stick Monopod is a extendable and foldable device for capturing the perfect selfie or group photo. Compatible with smartphones and cameras.,12.99,33,SnapTech,7.0
117,Sportbike Motorcycle,motorcycle,"The Sportbike Motorcycle is designed for speed and agility, with a sleek and aerodynamic profile. It's suitable for riders looking for a dynamic and thrilling riding experience.",7499.99,12,SpeedMaster,9.0
109,Monopod,mobile-accessories,"The Monopod is a versatile camera accessory for stable and adjustable shooting. Perfect for capturing selfies, group photos, and videos with ease.",19.99,96,TechGear,9.0
87,Men Check Shirt,mens-shirts,"The Men Check Shirt is a classic and versatile shirt featuring a stylish check pattern. Suitable for various occasions, it adds a smart and polished touch to your wardrobe.",27.99,69,Urban Chic,1.0
175,White Faux Leather Backpack,womens-bags,"The White Faux Leather Backpack is a trendy and practical backpack for the modern woman. With a sleek white design and ample storage space, it's perfect for both casual and on-the-go styles.",39.99,89,Urban Chic,1.0
120,Vaseline Men Body and Face Lotion,skin-care,Vaseline Men Body and Face Lotion is a specially formulated lotion designed to provide long-lasting moisture to men's skin. It absorbs quickly and helps keep the skin hydrated and healthy.,9.99,54,Vaseline,10.0
3,Powder Canister,beauty,"The Powder Canister is a finely milled setting powder designed to set makeup and control shine. With a lightweight and translucent formula, it provides a smooth and matte finish.",14.99,59,Velvet Touch,8.0
134,Vivo S1,smartphones,"The Vivo S1 is a stylish and mid-range smartphone offering a blend of design and performance. It features a vibrant display, capable camera system, and reliable functionality.",249.99,13,Vivo,1.0
135,Vivo V9,smartphones,"The Vivo V9 is a smartphone known for its sleek design and emphasis on capturing high-quality selfies. It features a notch display, dual-camera setup, and a modern design.",299.99,19,Vivo,5.0
136,Vivo X21,smartphones,"The Vivo X21 is a premium smartphone with a focus on cutting-edge technology. It features an in-display fingerprint sensor, a high-resolution display, and advanced camera capabilities.",499.99,0,Vivo,7.0
